"Record ID","Auditor initials","Journal name","Does the journal recommend or mandate any relevant document? (e.g. EQUATOR guidelines, J Physiol Drummond good reporting series, J Appl Physiol Curran-Everett series)    * If the journal only mentions or highlights that external reporting guidelines exists, DO NOT tick the box in RedCap for the mentioned reporting guideline(s).  * If the journal recommends or mandates one or more external reporting guidelines, DO tick the box in RedCap for the mentioned reporting guideline(s).","Name(s) of reference document(s) (choice=AGREE)","Name(s) of reference document(s) (choice=APS_Rigor)","Name(s) of reference document(s) (choice=ARRIVE)","Name(s) of reference document(s) (choice=BRISQ)","Name(s) of reference document(s) (choice=CARE)","Name(s) of reference document(s) (choice=CHEERS)","Name(s) of reference document(s) (choice=CONSORT)","Name(s) of reference document(s) (choice=COREQ)","Name(s) of reference document(s) (choice=FORCE)","Name(s) of reference document(s) (choice=GRIPS)","Name(s) of reference document(s) (choice=ICMJE-recomm)","Name(s) of reference document(s) (choice=MOOSE)","Name(s) of reference document(s) (choice=PRISMA)","Name(s) of reference document(s) (choice=recomm-report-)","Name(s) of reference document(s) (choice=RECORD)","Name(s) of reference document(s) (choice=REFLECT)","Name(s) of reference document(s) (choice=REMARK)","Name(s) of reference document(s) (choice=RIGHT)","Name(s) of reference document(s) (choice=SAMPL)","Name(s) of reference document(s) (choice=SPIRIT)","Name(s) of reference document(s) (choice=SQUIRE)","Name(s) of reference document(s) (choice=SRQR)","Name(s) of reference document(s) (choice=stand-rep-qual-)","Name(s) of reference document(s) (choice=STARD)","Name(s) of reference document(s) (choice=STREGA)","Name(s) of reference document(s) (choice=STROBE)","Name(s) of reference document(s) (choice=STROND PART 1 AND 2)","Name(s) of reference document(s) (choice=TIDieR)","Name(s) of reference document(s) (choice=TOP)","Name(s) of reference document(s) (choice=TREND)","Name(s) of reference document(s) (choice=TRIPOD)","Report whether the study protocol was pre-registered, for clinical trials?",Comments,"Report whether the study protocol was pre-registered or registered, for all other study designs?",Comments,"Report all statistical tests performed?",Comments,"Report all outcomes?",Comments,"Report, for frequentist analysis, the alpha threshold (e.g. 0.05) that defines statistical significance?",Comments,"Report criteria used to exclude data?",Comments,"Report how any missing data were treated in the analyses?",Comments,"Report, for Bayesian analysis, the prior probabilities?",Comments,"Define all written measures that describe data variability?",Comments,"Describe data using mean and SD, where appropriate?",Comments,"Describe data using median and IQR, range, or both, where appropriate? ",Comments,"NOT use the SE or CI (e.g. 95% CI) to describe data?",Comments,"Report the P value for all tests of statistical significance? ",Comments,"Report exact P values (e.g. p = 0.021 or p < 0.001)?",Comments,"Report a measure of precision (e.g. 95% CI) for effect sizes? ",Comments,"NOT interpret P values above the alpha threshold as trends towards statistical significance or as statistically significant?",Comments,"Report, for Bayesian analysis, the posterior distribution with a measure of central tendency and a credibility interval?",Comments,"Define all plotted measures that summarise data variability or estimates of effect size?",Comments,"Plot the individual participant/ specimen data in all figures that summarise data variability or estimates of effect size?",Comments,"Make (de-identified) data used in the statistical analysis publicly available?",Comments,"Make data processing code or spreadsheets publicly available? ",Comments,"Make statistical analysis code or spreadsheets publicly available? ",Comments,"Were there inconsistencies within the Journal Instructions to authors? (e.g. Journal Instructions state 'do not report SEs' in text but, in another section of the Journal Instructions to authors, show examples of figures with SEs)","If YES, copy-paste relevant text, or comment",Complete?
13,SG,"journal of neuroscience methods",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned","Journal no longer takes papers on clinical trials","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned","Under TABLES  tables should summarize results by an accepted method of expression, e.g. standard deviation (S.D).","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"...'This journal encourages and enables you to share data that supports your research publication  where appropriate...","Not mentioned","this journal also encourages you to share your software, code, models,  algorithms, protocols, methods and other useful materials related to the project",Encouraged/recommended,"see above",No,,Complete
14,SG,"human movement science",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned","Note they have a category of paper: 'Registered reports' for stuff pre-registered and they have results-independent editorial decisions. ","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"You had to go to an Elsevier URL from the main Guide to Authors to see that data sharing is encouraged. ","Not mentioned",,"Not mentioned",,Yes,"Complicated.  The guide to authors comes as word document (which I used) and you can download a 'version' from it as  PDF.  Also the word doc can send you to a similar (but not identical) Elsevier headed PDF which is not identical.  But there were no obvious inconsistencies for the things we ask about (I think!)",Complete
15,SG,neuropathology,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,No,,Complete
16,MH,"journal of molecular neuroscience",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,"""To ensure the integrity of the reporting of patient-centered trials, authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories.""","Not mentioned","""​ Abstract  Please provide an abstract of 150 to 250 words. The abstract should not contain any undefined abbreviations or unspecified references.  For life science journals only (when applicable)  Trial registration number and date of registration   Trial registration number, date of registration followed by ""retrospectively registered"" ""","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned","""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.""","Not mentioned","""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.""",No,,Unverified
17,MH,"ieee transactions on cognitive and developmental systems",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,Encouraged/recommended,,No,,Unverified
18,MH,neuropsychologia,Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,No,,Unverified
19,SG,"neuroscience letters",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned","Note the Guide to Authors is a rather standard guide prepared by Elsevier and we will run in to it elsewhere in our auditing SG","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"This journal encourages and enables you to share data that supports your research publication. Elsevier standard feeble wording",Encouraged/recommended,"To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code,",Encouraged/recommended,"Weak statement to share 'methods' Benefit of doubt to journal.  Rather pathetic though!",No,,Complete
20,SG,"journal of neurolinguistics",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,"'must be registered'  This an Elsevier standard guideline with some minor adjustments. ","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Weak encouragement: standard Elsevier line (see Neuroscience Methods)",Encouraged/recommended,"Weak encouragement",Encouraged/recommended,"Weak encouragement",No,,Complete
21,SG,"journal of membrane biology",Yes,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,"But under Abstract it writes:   'Trial registration number and date of registration'  I take this to mean put in registration information if you have it: there is no real encouragement in my view.  But near the end of stuff linked to the Nature publishing house it says 'authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories.'","Not mentioned","See previous comment","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Clayton's mention:   'Availability of data and material (data transparency)' but no encouragement at all.  Later in guidelines: 'We encourage research data to be archived in data repositories wherever possible'  Under 'supplementary information' Later on authors are reminded: 'All original research must include a data availability statement. '  Following that 'This journal strongly encourages that all datasets on which the conclusions of the paper rely are available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.  40 pages + of stuff in the guidelines but zip on statistics etc etc.",Encouraged/recommended,"Clayton's mention:   'Availability of data and material (data transparency)' but no encouragement at all.","Not mentioned","PRE AUDIT QUESTION: 'Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.'  Guidelines specifically mentioned are ticked in the list. ",No,,Complete
22,SG,"journal of stroke & cerebrovascular diseases",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,"Elsevier guidelines ","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,No,,Complete
