,journal,guidelines
38,journal of neurotrauma,['ICMJE-recomm']
31,journal of pain,"['ARRIVE', 'CONSORT', 'PRISMA', 'STARD', 'STROBE']"
97,journal of physiological sciences,[]
82,journal of physiology and pharmacology,[]
28,journal of physiology-london,"['ARRIVE', 'Drummond', 'Schultz']"
21,journal of stroke & cerebrovascular diseases,['ARRIVE']
60,journal of the neurological sciences,[]
80,molecular psychiatry,[]
79,motor control,[]
86,muscle & nerve,[]
45,nature neuroscience,"['BRISQ', 'CONSORT', 'ICMJE-recomm', 'REMARK']"
50,neural networks,[]
62,neural plasticity,"['ARRIVE', 'CARE', 'CONSORT', 'PRISMA', 'stand-rep-qual-', 'STARD', 'STREGA', 'STROBE', 'TREND']"
37,neurobiology of aging,[]
89,neurological sciences,"['AGREE', 'CARE', 'CHEERS', 'CONSORT', 'PRISMA', 'SPIRIT', 'SQUIRE', 'STARD', 'STROBE', 'TRIPOD']"
51,neurology-neuroimmunology & neuroinflammation,"['AGREE', 'ARRIVE', 'CARE', 'CHEERS', 'CONSORT', 'COREQ', 'GRIPS', 'ICMJE-recomm', 'MOOSE', 'PRISMA', 'RECORD', 'RIGHT', 'SAMPL', 'SPIRIT', 'SQUIRE', 'SRQR', 'STARD', 'STREGA', 'STROBE', 'STROND PART 1 AND 2', 'TRIPOD', 'Cummings']"
58,neuron,"['ARRIVE', 'STAR Methods']"
14,neuropathology,[]
71,neuropsychobiology,"['ARRIVE', 'CARE', 'CONSORT', 'PRISMA', 'TREND']"
17,neuropsychologia,['ARRIVE']
65,neuropsychopharmacology,"['CONSORT', 'PRISMA']"
75,neuroreport,[]
68,neuroscience,[]
18,neuroscience letters,['ARRIVE']
81,neuroscience research,[]
66,pain,"['CONSORT', 'SPIRIT']"
10,pflugers archiv-european journal of physiology,"['AGREE', 'ARRIVE', 'CARE', 'CHEERS', 'CONSORT', 'COREQ', 'PRISMA', 'RIGHT', 'SPIRIT', 'SQUIRE', 'SRQR', 'STARD', 'STROBE', 'TRIPOD']"
22,physiological measurement,[]
72,physiological research,[]
67,physiology,"['APS_Rigor', 'ARRIVE', 'APS_Editorial']"
73,respiratory physiology & neurobiology,['ARRIVE']
3,sleep,"['CONSORT', 'ICMJE-recomm', 'PRISMA', 'STARD', 'STROBE', 'TRIPOD']"
78,somatosensory and motor research,[]
